City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Ulladulla,AU,2021-03-07 21:12:06,-35.35,150.4667,64.4,94,0,3.44
67,Bengkulu,ID,2021-03-07 21:12:07,-3.8004,102.2655,75.02,80,97,5.97
68,Shakhovskaya,RU,2021-03-07 21:12:08,56.0283,35.5097,17.04,97,78,10.02
69,Orlovskiy,RU,2021-03-07 21:12:10,46.8714,42.0592,28.42,88,7,13.04
70,Chuy,UY,2021-03-07 21:12:11,-33.6971,-53.4616,73.08,77,19,8.93
71,Klaksvik,FO,2021-03-07 21:12:12,62.2266,-6.589,41.0,100,75,2.3
72,Launceston,AU,2021-03-07 21:12:13,-41.45,147.1667,55.99,88,90,3.44
73,Tiksi,RU,2021-03-07 21:12:15,71.6872,128.8694,-16.29,87,100,6.15
74,Poronaysk,RU,2021-03-07 21:12:16,49.2167,143.1167,-3.42,91,0,3.76
75,Bethel,US,2021-03-07 21:08:22,41.3712,-73.414,37.0,42,14,3.0
76,Ola,RU,2021-03-07 21:12:20,59.5833,151.2833,-13.68,76,3,5.3
77,Seabra,BR,2021-03-07 21:12:21,-12.4186,-41.7703,79.43,45,66,6.31
78,Sembe,CG,2021-03-07 21:11:15,1.6481,14.5806,78.57,52,100,2.82
79,Guerrero Negro,MX,2021-03-07 21:12:23,27.9769,-114.0611,65.01,55,9,14.79
80,Harrisonburg,US,2021-03-07 21:08:56,38.4496,-78.8689,48.99,54,99,5.39
81,Bajos De Haina,DO,2021-03-07 21:12:26,18.4154,-70.0332,84.2,70,20,11.5
82,West Wendover,US,2021-03-07 21:12:27,40.7391,-114.0733,53.6,30,1,6.91
83,Kapaa,US,2021-03-07 21:12:29,22.0752,-159.319,75.2,69,40,16.11
84,Beloha,MG,2021-03-07 21:12:30,-25.1667,45.05,70.25,88,0,5.64
85,Waipawa,NZ,2021-03-07 21:12:32,-41.4122,175.5153,61.0,77,75,11.5
86,Cuauhtemoc,MX,2021-03-07 21:12:33,28.4167,-106.8667,70.0,16,0,8.99
87,Mackay,AU,2021-03-07 21:12:34,-21.15,149.2,72.0,94,40,4.61
88,Kavaratti,IN,2021-03-07 21:12:35,10.5669,72.642,81.95,70,0,8.59
89,Lorengau,PG,2021-03-07 21:12:37,-2.0226,147.2712,79.66,80,100,5.17
90,Nyurba,RU,2021-03-07 21:12:38,63.2842,118.3319,12.7,96,100,3.53
91,Kahului,US,2021-03-07 21:12:40,20.8947,-156.47,80.6,54,40,20.71
92,Ponta Do Sol,PT,2021-03-07 21:12:41,32.6667,-17.1,59.0,76,57,1.01
93,Ancud,CL,2021-03-07 21:12:43,-41.8697,-73.8203,70.0,48,0,11.5
94,Ribeira Grande,PT,2021-03-07 21:12:27,38.5167,-28.7,60.8,100,75,12.66
95,Honiara,SB,2021-03-07 21:12:45,-9.4333,159.95,80.24,77,100,1.12
96,Golden,US,2021-03-07 21:09:47,39.7555,-105.2211,68.0,12,75,4.61
97,Lagoa,PT,2021-03-07 21:12:48,39.05,-27.9833,59.97,96,64,13.98
98,Beringovskiy,RU,2021-03-07 21:12:49,63.05,179.3167,19.98,92,56,17.92
99,Kaitangata,NZ,2021-03-07 21:12:50,-46.2817,169.8464,53.01,62,91,8.01
100,Christchurch,NZ,2021-03-07 21:11:08,-43.5333,172.6333,61.0,71,84,6.91
101,Luderitz,NA,2021-03-07 21:12:54,-26.6481,15.1594,66.06,69,0,16.24
102,Ponta Delgada,PT,2021-03-07 21:12:55,37.7333,-25.6667,62.6,88,40,4.61
103,Karratha,AU,2021-03-07 21:12:59,-20.7377,116.8463,80.31,80,1,8.93
104,Georgetown,MY,2021-03-07 21:10:04,5.4112,100.3354,78.8,94,20,3.44
105,Barrow,US,2021-03-07 21:13:01,71.2906,-156.7887,-14.8,70,90,16.11
106,Mount Isa,AU,2021-03-07 21:13:03,-20.7333,139.5,78.8,57,75,12.66
107,Vestmannaeyjar,IS,2021-03-07 21:13:06,63.4427,-20.2734,43.52,77,81,23.02
108,Posse,BR,2021-03-07 21:13:07,-14.0931,-46.3694,75.51,79,73,3.33
109,Buritis,BR,2021-03-07 21:13:08,-15.6178,-46.4233,76.68,79,97,1.25
110,Upernavik,GL,2021-03-07 21:12:44,72.7868,-56.1549,-19.37,83,0,12.21
111,Bay Roberts,CA,2021-03-07 21:13:11,47.5999,-53.2648,32.0,65,68,5.99
112,Hilo,US,2021-03-07 21:09:40,19.7297,-155.09,71.6,78,90,5.93
113,Port Macquarie,AU,2021-03-07 21:13:14,-31.4333,152.9167,68.0,99,15,7.25
114,Thompson,CA,2021-03-07 21:13:16,55.7435,-97.8558,39.2,70,75,5.75
115,Bras-Panon,RE,2021-03-07 21:13:17,-20.9967,55.6782,78.8,83,0,5.75
116,Bredy,RU,2021-03-07 21:13:18,52.4153,60.3411,-0.24,90,13,10.29
117,Kavieng,PG,2021-03-07 21:13:20,-2.5744,150.7967,80.74,77,100,5.08
118,Ahipara,NZ,2021-03-07 21:13:21,-35.1667,173.1667,65.17,66,93,14.07
119,Lakes Entrance,AU,2021-03-07 21:13:23,-37.8811,147.981,64.99,70,100,1.01
120,Keetmanshoop,NA,2021-03-07 21:13:25,-26.5833,18.1333,78.8,24,2,13.8
121,Yuli,NG,2021-03-07 21:13:26,9.6989,10.2744,83.44,14,15,5.93
122,Ketchikan,US,2021-03-07 21:13:28,55.3422,-131.6461,44.6,70,90,10.36
123,Texarkana,US,2021-03-07 21:13:30,33.4251,-94.0477,66.2,26,1,10.36
124,East London,ZA,2021-03-07 21:13:32,-33.0153,27.9116,69.98,81,60,6.15
125,Kamarion,GR,2021-03-07 21:13:34,36.8,25.8167,53.01,68,0,3.0
126,Bambous Virieux,MU,2021-03-07 21:12:49,-20.3428,57.7575,80.01,88,40,5.75
127,Nador,MA,2021-03-07 21:12:36,35.174,-2.9287,59.0,77,0,8.05
