City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Rikitea,PF,2021-03-07 23:46:32,-23.1203,-134.9692,80.82,79,100,16.82,moderate rain
61,Na Klang,TH,2021-03-07 23:46:32,17.3072,102.1889,79.0,100,75,3.44,light rain
62,Sorland,NO,2021-03-07 23:46:32,67.667,12.6934,33.62,93,100,16.82,snow
63,Kungurtug,RU,2021-03-07 23:46:33,50.5994,97.5228,7.84,84,12,1.7,few clouds
64,Grindavik,IS,2021-03-07 23:46:33,63.8424,-22.4338,41.0,93,90,17.27,overcast clouds
65,Kapaa,US,2021-03-07 23:46:34,22.0752,-159.319,75.2,69,40,16.11,light rain
66,Aklavik,CA,2021-03-07 23:46:34,68.2191,-135.0107,-7.6,70,70,6.91,broken clouds
67,Albany,US,2021-03-07 23:44:04,42.6001,-73.9662,28.0,37,56,11.01,broken clouds
68,Broken Hill,AU,2021-03-07 23:46:35,-31.95,141.4333,75.2,33,92,9.22,overcast clouds
69,Kodiak,US,2021-03-07 23:45:11,57.79,-152.4072,44.6,49,1,9.22,clear sky
70,Hualmay,PE,2021-03-07 23:46:36,-11.0964,-77.6139,72.82,81,63,9.19,broken clouds
71,Banda Aceh,ID,2021-03-07 23:46:36,5.5577,95.3222,78.3,77,74,4.14,broken clouds
72,Marion,US,2021-03-07 23:46:37,39.7684,-86.1555,50.0,25,75,4.61,broken clouds
73,Tuktoyaktuk,CA,2021-03-07 23:46:37,69.4541,-133.0374,-14.8,76,40,16.11,snow
74,Palmer,US,2021-03-07 23:44:25,42.1584,-72.3287,32.0,37,1,11.5,clear sky
75,Vila Velha,BR,2021-03-07 23:46:38,-20.3297,-40.2925,82.0,94,90,6.91,heavy intensity rain
76,Puerto Ayora,EC,2021-03-07 23:42:13,-0.7393,-90.3518,82.0,85,62,11.01,broken clouds
77,Mahebourg,MU,2021-03-07 23:46:39,-20.4081,57.7,77.0,88,40,4.61,scattered clouds
78,Saldanha,ZA,2021-03-07 23:46:39,-33.0117,17.9442,59.0,77,26,8.05,scattered clouds
79,Port Loko,SL,2021-03-07 23:46:40,8.7667,-12.7833,82.4,74,40,9.22,haze
80,Lata,PT,2021-03-07 23:46:40,40.1629,-8.3327,53.01,82,40,1.25,scattered clouds
81,Maracanau,BR,2021-03-07 23:46:41,-3.8767,-38.6256,81.0,89,20,3.44,few clouds
82,Svetlogorsk,BY,2021-03-07 23:46:41,52.6333,29.7333,27.93,96,100,11.77,overcast clouds
83,Kununurra,AU,2021-03-07 23:46:42,-15.7667,128.7333,87.8,79,56,2.3,broken clouds
